Genome,Genome ID,Accession,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3615",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3685812.3686126.rev","PATRIC","CDS",3685812,3686126,315,"-",,"PLF_561_00005035","PGF_00091072",,104,,"Uncharacterized protein YjeN",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3616",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3686178.3687635.rev","PATRIC","CDS",3686178,3687635,1458,"-",,"PLF_561_00000475","PGF_00014290",,485,,"Inner membrane transporter YjeM",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3617",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3687899.3688876.rev","PATRIC","CDS",3687899,3688876,978,"-",,"PLF_561_00001474","PGF_00060424",,325,,"Translation elongation factor P Lys34--(R)-beta-lysine ligase",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.29",,,"PATRIC.562.163959.562.163959.con.0001.CDS.36882.38327.fwd","PATRIC","CDS",36882,38327,1446,"+",,"PLF_561_00000481","PGF_06707410",,481,,"TldD protein, part of TldE/TldD proteolytic complex",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3618",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3689201.3691009.fwd","PATRIC","CDS",3689201,3691009,1809,"+",,"PLF_561_00000637","PGF_03803868",,602,,"Fumarate reductase flavoprotein subunit (EC 1.3.5.4)",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3619",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3691002.3691736.fwd","PATRIC","CDS",3691002,3691736,735,"+",,"PLF_561_00001036","PGF_03034557",,244,,"Fumarate reductase iron-sulfur protein (EC 1.3.5.4)",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.363",,,"PATRIC.562.163959.562.163959.con.0001.CDS.369133.369246.fwd","PATRIC","CDS",369133,369246,114,"+",,"PLF_561_00005185","PGF_00320635",,37,,"hypothetical protein",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3620",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3691747.3692142.fwd","PATRIC","CDS",3691747,3692142,396,"+",,"PLF_561_00000719","PGF_00006500",,131,,"Fumarate reductase subunit C",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3621",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3692153.3692512.fwd","PATRIC","CDS",3692153,3692512,360,"+",,"PLF_561_00003054","PGF_00006501",,119,,"Fumarate reductase subunit D",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3622",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3692575.3693708.fwd","PATRIC","CDS",3692575,3693708,1134,"+",,"PLF_561_00000240","PGF_00918275",,377,,"Class C beta-lactamase (EC 3.5.2.6) => BlaEC family","GO:0008800|beta-lactamase activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.364",,,"PATRIC.562.163959.562.163959.con.0001.CDS.369299.369529.fwd","PATRIC","CDS",369299,369529,231,"+",,"PLF_561_00003507","PGF_00013364",,76,,"Putative uncharacterized protein YqfE",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3623",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3693797.3694330.fwd","PATRIC","CDS",3693797,3694330,534,"+",,"PLF_561_00000306","PGF_07300582",,177,,"Lipocalin Blc",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3624",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3694327.3694644.rev","PATRIC","CDS",3694327,3694644,318,"-",,"PLF_561_00028848","PGF_08031207",,105,,"Small multidrug resistance (SMR) efflux transporter => SugE, quaternary ammonium compounds",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3625",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3694820.3694966.rev","PATRIC","CDS",3694820,3694966,147,"-",,"PLF_561_00001417","PGF_00424596",,48,,"Entericidin B",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3626",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3695077.3695202.rev","PATRIC","CDS",3695077,3695202,126,"-",,"PLF_561_00003575","PGF_01972356",,41,,"Entericidin A",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3627",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3695254.3695820.rev","PATRIC","CDS",3695254,3695820,567,"-",,"PLF_561_00001310","PGF_03799365",,188,,"Translation elongation factor P",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.365",,,"PATRIC.562.163959.562.163959.con.0001.CDS.369585.370244.fwd","PATRIC","CDS",369585,370244,660,"+",,"PLF_561_00001297","PGF_05657253",,219,,"Ribose-5-phosphate isomerase A (EC 5.3.1.6)","GO:0004751|ribose-5-phosphate isomerase activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3628",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3695862.3696890.fwd","PATRIC","CDS",3695862,3696890,1029,"+",,"PLF_561_00000477","PGF_00017939",,342,,"Lysine 2,3-aminomutase (EC 5.4.3.2)","GO:0050066|lysine 2,3-aminomutase activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3629",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3697285.3698154.fwd","PATRIC","CDS",3697285,3698154,870,"+",,"PLF_561_00008104","PGF_01627272",,289,,"Uncharacterized protein YjeJ",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3630",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3698357.3698710.rev","PATRIC","CDS",3698357,3698710,354,"-",,"PLF_561_00014469","PGF_01624650",,117,,"Uncharacterized protein YjeI",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3631",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3698848.3700494.rev","PATRIC","CDS",3698848,3700494,1647,"-",,"PLF_561_00000599","PGF_01212739",,548,,"Heat shock protein 60 kDa family chaperone GroEL",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3632",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3700538.3700831.rev","PATRIC","CDS",3700538,3700831,294,"-",,"PLF_561_00001978","PGF_09581668",,97,,"Heat shock protein 10 kDa family chaperone GroES",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3633",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3701107.3702363.fwd","PATRIC","CDS",3701107,3702363,1257,"+",,"PLF_561_00000591","PGF_00014188",,418,,"L-methionine and branched-chain amino acid export protein YjeH",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3634",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3702379.3702855.rev","PATRIC","CDS",3702379,3702855,477,"-",,"PLF_561_00003410","PGF_00559569",,158,,"UPF0716 protein FxsA",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3635",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3703192.3704628.fwd","PATRIC","CDS",3703192,3704628,1437,"+",,"PLF_561_00000657","PGF_00066854",,478,,"Aspartate ammonia-lyase (EC 4.3.1.1)","GO:0008797|aspartate ammonia-lyase activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3636",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3704746.3706047.fwd","PATRIC","CDS",3704746,3706047,1302,"+",,"PLF_561_00000609","PGF_03844705",,433,,"Anaerobic C4-dicarboxylate transporter DcuA",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.366",,,"PATRIC.562.163959.562.163959.con.0001.CDS.370500.371732.fwd","PATRIC","CDS",370500,371732,1233,"+",,"PLF_561_00001257","PGF_00012987",,410,,"D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)","GO:0004617|phosphoglycerate dehydrogenase activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3637",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3706163.3706501.fwd","PATRIC","CDS",3706163,3706501,339,"+",,"PLF_561_00001144","PGF_03205642",,112,,"Periplasmic divalent cation tolerance protein CutA",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3638",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3706477.3708174.fwd","PATRIC","CDS",3706477,3708174,1698,"+",,"PLF_561_00000586","PGF_08652177",,565,,"Cytochrome c-type biogenesis protein DsbD, protein-disulfide reductase (EC 1.8.1.8)","GO:0047134|protein-disulfide reductase activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3639",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3708211.3708786.fwd","PATRIC","CDS",3708211,3708786,576,"+",,"PLF_561_00000318","PGF_00058852",,191,,"Transcriptional regulator YjdC, AcrR family",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3640",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3709585.3711123.fwd","PATRIC","CDS",3709585,3711123,1539,"+",,"PLF_561_00002034","PGF_00057539",,512,,"Transcriptional activator of cad operon",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3641",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3711488.3712822.fwd","PATRIC","CDS",3711488,3712822,1335,"+",,"PLF_561_00003357","PGF_00018018",,444,,"Lysine/cadaverine antiporter membrane protein CadB",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3642",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3712902.3715049.fwd","PATRIC","CDS",3712902,3715049,2148,"+",,"PLF_561_00003303","PGF_00017965",,715,,"Lysine decarboxylase, inducible (EC 4.1.1.18)","GO:0008923|lysine decarboxylase activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3643",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3715108.3716565.fwd","PATRIC","CDS",3715108,3716565,1458,"+",,"PLF_561_00003387","PGF_00423023",,485,,"Di-tripeptide/H+ symporter DtpC",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3644",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3716802.3718319.fwd","PATRIC","CDS",3716802,3718319,1518,"+",,"PLF_561_00000023","PGF_00710545",,505,,"Lysyl-tRNA synthetase (class II) (EC 6.1.1.6)","GO:0004824|lysine-tRNA ligase activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3645",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3718438.3718611.rev","PATRIC","CDS",3718438,3718611,174,"-",,"PLF_561_00003367","PGF_00057326",,57,,"Toxin GhoT",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3646",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3718639.3718935.rev","PATRIC","CDS",3718639,3718935,297,"-",,"PLF_561_00003400","PGF_00424382",,98,,"Endoribonuclease GhoS",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3647",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3719162.3719434.rev","PATRIC","CDS",3719162,3719434,273,"-",,"PLF_561_00000253","PGF_02906072",,90,,"Uncharacterized protein YjdJ, possible GNAT acetyltransferase",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3648",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3719446.3719676.rev","PATRIC","CDS",3719446,3719676,231,"-",,"PLF_561_00000262","PGF_00065607",,76,,"Uncharacterized protein YjdI",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3649",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3719857.3721488.fwd","PATRIC","CDS",3719857,3721488,1632,"+",,"PLF_561_00002183","PGF_00006503",,543,,"Fumarate respiration sensor kinase protein DcuS",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.367",,,"PATRIC.562.163959.562.163959.con.0001.CDS.372121.372723.rev","PATRIC","CDS",372121,372723,603,"-",,"PLF_561_00001491","PGF_04457297",,200,,"5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2)","GO:0030272|5-formyltetrahydrofolate cyclo-ligase activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3650",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3721485.3722204.fwd","PATRIC","CDS",3721485,3722204,720,"+",,"PLF_561_00000395","PGF_00647137",,239,,"Fumarate respiration two-component response regulator DcuR",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3651",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3722775.3724115.fwd","PATRIC","CDS",3722775,3724115,1341,"+",,"PLF_561_00002550","PGF_01353801",,446,,"Anaerobic C4-dicarboxylate transporter DcuB",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3652",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3724193.3725839.fwd","PATRIC","CDS",3724193,3725839,1647,"+",,"PLF_561_00003302","PGF_00006460",,548,,"Fumarate hydratase class I, anaerobic (EC 4.2.1.2)","GO:0004333|fumarate hydratase activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3653",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3725961.3726590.fwd","PATRIC","CDS",3725961,3726590,630,"+",,"PLF_561_00000248","PGF_00014187",,209,,"Inner membrane protein YjdF",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3654",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3726729.3728138.rev","PATRIC","CDS",3726729,3728138,1410,"-",,"PLF_561_00003777","PGF_03844426",,469,,"Melibiose carrier protein, Na+/melibiose symporter",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3655",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3728253.3729608.rev","PATRIC","CDS",3728253,3729608,1356,"-",,"PLF_561_00002805","PGF_00047490",,451,,"alpha-galactosidase (EC 3.2.1.22)","GO:0004557|alpha-galactosidase activity;GO:0004557|raffinose alpha-galactosidase activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.368",,,"PATRIC.562.163959.562.163959.con.0001.CDS.372969.373298.rev","PATRIC","CDS",372969,373298,330,"-",,"PLF_561_00002539","PGF_06833427",,109,,"Z-ring-associated protein ZapA",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3656",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3729891.3730799.fwd","PATRIC","CDS",3729891,3730799,909,"+",,"PLF_561_00002832","PGF_00019476",,302,,"Melibiose operon regulatory protein MelR, AraC family",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3657",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3730995.3733265.fwd","PATRIC","CDS",3730995,3733265,2271,"+",,"PLF_561_00001498","PGF_00064309",,756,,"Arginine decarboxylase, catabolic (EC 4.1.1.19)","GO:0008792|arginine decarboxylase activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3658",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3733590.3734351.fwd","PATRIC","CDS",3733590,3734351,762,"+",,"PLF_561_00002142","PGF_00058773",,253,,"Transcriptional regulator of catabolic arginine decarboxylase (adiA)",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3659",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3734488.3735825.fwd","PATRIC","CDS",3734488,3735825,1338,"+",,"PLF_561_00000674","PGF_00064551",,445,,"Arginine/agmatine antiporter",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.369",,,"PATRIC.562.163959.562.163959.con.0001.CDS.373466.374044.fwd","PATRIC","CDS",373466,374044,579,"+",,"PLF_561_00002673","PGF_00064220",,192,,"UPF0149 exported protein YgfB",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3660",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3735929.3737572.fwd","PATRIC","CDS",3735929,3737572,1644,"+",,"PLF_561_00001652","PGF_04602135",,547,,"Lipid A phosphoethanolamine transferase EptA/PmrC (EC 2.7.8.43)",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3661",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3737569.3738237.fwd","PATRIC","CDS",3737569,3738237,669,"+",,"PLF_561_00002146","PGF_00063150",,222,,"Two-component transcriptional regulatory protein BasR/PmrA (activated by BasS/PmrB)",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3662",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3738238.3739338.fwd","PATRIC","CDS",3738238,3739338,1101,"+",,"PLF_561_00002598","PGF_00050700",,366,,"Sensor protein BasS/PmrB (activates BasR/PmrA)",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3663",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3739314.3739403.rev","PATRIC","CDS",3739314,3739403,90,"-",,"PLF_561_00075509","PGF_00373564",,29,,"Putative membrane protein PmrR",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3664",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3739515.3741017.rev","PATRIC","CDS",3739515,3741017,1503,"-",,"PLF_561_00001271","PGF_10337148",,500,,"L-Proline/Glycine betaine transporter ProP",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.370",,,"PATRIC.562.163959.562.163959.con.0001.CDS.374070.375395.fwd","PATRIC","CDS",374070,375395,1326,"+",,"PLF_561_00001479","PGF_00066867",,441,,"Xaa-Pro aminopeptidase (EC 3.4.11.9)",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3665",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3741281.3742159.rev","PATRIC","CDS",3741281,3742159,879,"-",,"PLF_561_00000890","PGF_00020823",,292,,"Uncharacterized protein YjcZ",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3666",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3742156.3744384.rev","PATRIC","CDS",3742156,3744384,2229,"-",,"PLF_561_00000250","PGF_03111094",,742,,"Clamp-binding protein CrfC",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3667",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3744707.3745120.fwd","PATRIC","CDS",3744707,3745120,414,"+",,"PLF_561_00000830","PGF_00037937",,137,,"Protein PhnA",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3668",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3745778.3746221.fwd","PATRIC","CDS",3745778,3746221,444,"+",,"PLF_561_00001149","PGF_00037938",,147,,"Protein PhnB",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3669",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3746354.3747142.fwd","PATRIC","CDS",3746354,3747142,789,"+",,"PLF_561_00003279","PGF_00033832",,262,,"Phosphonate ABC transporter ATP-binding protein PhnC (TC 3.A.1.9.1)",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3670",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3747167.3748183.fwd","PATRIC","CDS",3747167,3748183,1017,"+",,"PLF_561_00000755","PGF_00033852",,338,,"Phosphonate ABC transporter substrate-binding protein PhnD (TC 3.A.1.9.1)",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3671",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3748238.3748858.fwd","PATRIC","CDS",3748238,3748858,621,"+",,"PLF_561_00000182","PGF_00033837",,206,,"Phosphonate ABC transporter permease protein PhnE (TC 3.A.1.9.1)",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3672",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3748855.3749076.fwd","PATRIC","CDS",3748855,3749076,222,"+",,"PLF_561_00000182","PGF_00033837",,73,,"Phosphonate ABC transporter permease protein PhnE (TC 3.A.1.9.1)",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3673",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3749097.3749822.fwd","PATRIC","CDS",3749097,3749822,726,"+",,"PLF_561_00003311","PGF_02087077",,241,,"Transcriptional regulator PhnF",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3674",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3749823.3750275.fwd","PATRIC","CDS",3749823,3750275,453,"+",,"PLF_561_00003315","PGF_06858669",,150,,"Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnG (EC 2.7.8.37)","GO:0061693|alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3675",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3750272.3750856.fwd","PATRIC","CDS",3750272,3750856,585,"+",,"PLF_561_00003306","PGF_02712817",,194,,"Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnH (EC 2.7.8.37)","GO:0061693|alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3676",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3750856.3751920.fwd","PATRIC","CDS",3750856,3751920,1065,"+",,"PLF_561_00003287","PGF_00046174",,354,,"Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnI (EC 2.7.8.37)","GO:0061693|alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3677",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3751913.3752758.fwd","PATRIC","CDS",3751913,3752758,846,"+",,"PLF_561_00003243","PGF_00046092",,281,,"Alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase (EC 4.7.1.1)",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3678",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3752755.3753513.fwd","PATRIC","CDS",3752755,3753513,759,"+",,"PLF_561_00003277","PGF_00033867",,252,,"Phosphonates utilization ATP-binding protein PhnK",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3679",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3753624.3754304.fwd","PATRIC","CDS",3753624,3754304,681,"+",,"PLF_561_00003280","PGF_00046185",,226,,"Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnL (EC 2.7.8.37)","GO:0061693|alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.371",,,"PATRIC.562.163959.562.163959.con.0001.CDS.375392.376570.fwd","PATRIC","CDS",375392,376570,1179,"+",,"PLF_561_00001809","PGF_03006190",,392,,"2-polyprenyl-6-methoxyphenol hydroxylase",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3680",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3754301.3755437.fwd","PATRIC","CDS",3754301,3755437,1137,"+",,"PLF_561_00001172","PGF_03376086",,378,,"Alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase (EC 3.6.1.63)",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3681",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3755437.3755994.fwd","PATRIC","CDS",3755437,3755994,558,"+",,"PLF_561_00003196","PGF_02604083",,185,,"Ribose 1,5-bisphosphate phosphokinase PhnN (EC 2.7.4.23)","GO:0033863|ribose 1,5-bisphosphate phosphokinase activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3682",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3755981.3756415.fwd","PATRIC","CDS",3755981,3756415,435,"+",,"PLF_561_00002662","PGF_00037940",,144,,"Protein PhnO",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3683",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3756417.3757175.fwd","PATRIC","CDS",3756417,3757175,759,"+",,"PLF_561_00002725","PGF_00033919",,252,,"Phosphoribosyl 1,2-cyclic phosphodiesterase (EC 3.1.4.55)",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3684",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3757322.3757651.rev","PATRIC","CDS",3757322,3757651,330,"-",,"PLF_561_00001804","PGF_01386347",,109,,"Uncharacterized protein YjdP",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3685",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3757720.3758169.rev","PATRIC","CDS",3757720,3758169,450,"-",,"PLF_561_00003615","PGF_00420874",,149,,"D-allose-6-phosphate isomerase (EC 5.3.1.-) @ Ribose-5-phosphate isomerase B (EC 5.3.1.6)","GO:0008786|allose 6-phosphate isomerase activity;GO:0008786|galactosamine-6-phosphate isomerase activity;GO:0008786|ribose 1,5-bisphosphate isomerase activity;GO:0004751|ribose-5-phosphate isomerase activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.3686",,,"PATRIC.562.163959.562.163959.con.0001.CDS.3758528.3759418.fwd","PATRIC","CDS",3758528,3759418,891,"+",,"PLF_561_00004251","PGF_00058755",,296,,"Transcriptional regulator of D-allose utilization RpiR",
